variant,seed,step,source_variant,slot,expert,count,fraction
R2P3_cancel_0_10,20260521,0,original,0,0,128,0.4
R2P3_cancel_0_10,20260521,0,original,0,1,64,0.2
R2P3_cancel_0_10,20260521,0,original,0,2,0,0.0
R2P3_cancel_0_10,20260521,0,original,0,3,128,0.4
R2P3_cancel_0_10,20260521,0,original,1,0,0,0.0
R2P3_cancel_0_10,20260521,0,original,1,1,128,0.4
R2P3_cancel_0_10,20260521,0,original,1,2,96,0.3
R2P3_cancel_0_10,20260521,0,original,1,3,96,0.3
R2P3_cancel_0_10,20260521,0,original,2,0,0,0.0
R2P3_cancel_0_10,20260521,0,original,2,1,256,0.8
R2P3_cancel_0_10,20260521,0,original,2,2,32,0.1
R2P3_cancel_0_10,20260521,0,original,2,3,32,0.1
R2P3_cancel_0_10,20260521,0,original,3,0,32,0.1
R2P3_cancel_0_10,20260521,0,original,3,1,192,0.6
R2P3_cancel_0_10,20260521,0,original,3,2,32,0.1
R2P3_cancel_0_10,20260521,0,original,3,3,64,0.2
R2P3_cancel_0_10,20260521,1,original,0,0,0,0.0
R2P3_cancel_0_10,20260521,1,original,0,1,128,0.4
R2P3_cancel_0_10,20260521,1,original,0,2,0,0.0
R2P3_cancel_0_10,20260521,1,original,0,3,192,0.6
R2P3_cancel_0_10,20260521,1,original,1,0,0,0.0
R2P3_cancel_0_10,20260521,1,original,1,1,160,0.5
R2P3_cancel_0_10,20260521,1,original,1,2,64,0.2
R2P3_cancel_0_10,20260521,1,original,1,3,96,0.3
R2P3_cancel_0_10,20260521,1,original,2,0,32,0.1
R2P3_cancel_0_10,20260521,1,original,2,1,224,0.7
R2P3_cancel_0_10,20260521,1,original,2,2,32,0.1
R2P3_cancel_0_10,20260521,1,original,2,3,32,0.1
R2P3_cancel_0_10,20260521,1,original,3,0,64,0.2
R2P3_cancel_0_10,20260521,1,original,3,1,224,0.7
R2P3_cancel_0_10,20260521,1,original,3,2,0,0.0
R2P3_cancel_0_10,20260521,1,original,3,3,32,0.1
R2P3_cancel_0_10,20260521,2,original,0,0,0,0.0
R2P3_cancel_0_10,20260521,2,original,0,1,128,0.4
R2P3_cancel_0_10,20260521,2,original,0,2,0,0.0
R2P3_cancel_0_10,20260521,2,original,0,3,192,0.6
R2P3_cancel_0_10,20260521,2,original,1,0,0,0.0
R2P3_cancel_0_10,20260521,2,original,1,1,224,0.7
R2P3_cancel_0_10,20260521,2,original,1,2,0,0.0
R2P3_cancel_0_10,20260521,2,original,1,3,96,0.3
R2P3_cancel_0_10,20260521,2,original,2,0,96,0.3
R2P3_cancel_0_10,20260521,2,original,2,1,160,0.5
R2P3_cancel_0_10,20260521,2,original,2,2,64,0.2
R2P3_cancel_0_10,20260521,2,original,2,3,0,0.0
R2P3_cancel_0_10,20260521,2,original,3,0,96,0.3
R2P3_cancel_0_10,20260521,2,original,3,1,192,0.6
R2P3_cancel_0_10,20260521,2,original,3,2,0,0.0
R2P3_cancel_0_10,20260521,2,original,3,3,32,0.1
R2P3_cancel_0_10,20260521,5,original,0,0,0,0.0
R2P3_cancel_0_10,20260521,5,original,0,1,0,0.0
R2P3_cancel_0_10,20260521,5,original,0,2,0,0.0
R2P3_cancel_0_10,20260521,5,original,0,3,320,1.0
R2P3_cancel_0_10,20260521,5,original,1,0,32,0.1
R2P3_cancel_0_10,20260521,5,original,1,1,288,0.9
R2P3_cancel_0_10,20260521,5,original,1,2,0,0.0
R2P3_cancel_0_10,20260521,5,original,1,3,0,0.0
R2P3_cancel_0_10,20260521,5,original,2,0,0,0.0
R2P3_cancel_0_10,20260521,5,original,2,1,0,0.0
R2P3_cancel_0_10,20260521,5,original,2,2,320,1.0
R2P3_cancel_0_10,20260521,5,original,2,3,0,0.0
R2P3_cancel_0_10,20260521,5,original,3,0,160,0.5
R2P3_cancel_0_10,20260521,5,original,3,1,160,0.5
R2P3_cancel_0_10,20260521,5,original,3,2,0,0.0
R2P3_cancel_0_10,20260521,5,original,3,3,0,0.0
R2P3_cancel_0_10,20260521,10,original,0,0,0,0.0
R2P3_cancel_0_10,20260521,10,original,0,1,0,0.0
R2P3_cancel_0_10,20260521,10,original,0,2,0,0.0
R2P3_cancel_0_10,20260521,10,original,0,3,320,1.0
R2P3_cancel_0_10,20260521,10,original,1,0,0,0.0
R2P3_cancel_0_10,20260521,10,original,1,1,320,1.0
R2P3_cancel_0_10,20260521,10,original,1,2,0,0.0
R2P3_cancel_0_10,20260521,10,original,1,3,0,0.0
R2P3_cancel_0_10,20260521,10,original,2,0,0,0.0
R2P3_cancel_0_10,20260521,10,original,2,1,0,0.0
R2P3_cancel_0_10,20260521,10,original,2,2,320,1.0
R2P3_cancel_0_10,20260521,10,original,2,3,0,0.0
R2P3_cancel_0_10,20260521,10,original,3,0,320,1.0
R2P3_cancel_0_10,20260521,10,original,3,1,0,0.0
R2P3_cancel_0_10,20260521,10,original,3,2,0,0.0
R2P3_cancel_0_10,20260521,10,original,3,3,0,0.0
R2P3_cancel_0_10,20260521,20,original,0,0,0,0.0
R2P3_cancel_0_10,20260521,20,original,0,1,0,0.0
R2P3_cancel_0_10,20260521,20,original,0,2,0,0.0
R2P3_cancel_0_10,20260521,20,original,0,3,320,1.0
R2P3_cancel_0_10,20260521,20,original,1,0,0,0.0
R2P3_cancel_0_10,20260521,20,original,1,1,320,1.0
R2P3_cancel_0_10,20260521,20,original,1,2,0,0.0
R2P3_cancel_0_10,20260521,20,original,1,3,0,0.0
R2P3_cancel_0_10,20260521,20,original,2,0,0,0.0
R2P3_cancel_0_10,20260521,20,original,2,1,0,0.0
R2P3_cancel_0_10,20260521,20,original,2,2,320,1.0
R2P3_cancel_0_10,20260521,20,original,2,3,0,0.0
R2P3_cancel_0_10,20260521,20,original,3,0,320,1.0
R2P3_cancel_0_10,20260521,20,original,3,1,0,0.0
R2P3_cancel_0_10,20260521,20,original,3,2,0,0.0
R2P3_cancel_0_10,20260521,20,original,3,3,0,0.0
R2P3_cancel_0_10,20260521,50,original,0,0,0,0.0
R2P3_cancel_0_10,20260521,50,original,0,1,0,0.0
R2P3_cancel_0_10,20260521,50,original,0,2,0,0.0
R2P3_cancel_0_10,20260521,50,original,0,3,320,1.0
R2P3_cancel_0_10,20260521,50,original,1,0,0,0.0
R2P3_cancel_0_10,20260521,50,original,1,1,320,1.0
R2P3_cancel_0_10,20260521,50,original,1,2,0,0.0
R2P3_cancel_0_10,20260521,50,original,1,3,0,0.0
R2P3_cancel_0_10,20260521,50,original,2,0,0,0.0
R2P3_cancel_0_10,20260521,50,original,2,1,0,0.0
R2P3_cancel_0_10,20260521,50,original,2,2,320,1.0
R2P3_cancel_0_10,20260521,50,original,2,3,0,0.0
R2P3_cancel_0_10,20260521,50,original,3,0,320,1.0
R2P3_cancel_0_10,20260521,50,original,3,1,0,0.0
